来源,字段,原始名称,统计名称,出现次数,归并类型,规则来源
发行台账0924/总表,托管行,上银北分,上海银行,22,托管行分行归并,scripts/entity_alias.py:BANK_NORM_MAP/银行名提取
发行台账0924/总表,托管行,上银浦东分行,上海银行,1,托管行分行归并,scripts/entity_alias.py:BANK_NORM_MAP/银行名提取
发行台账0924/总表,托管行,中信北分,中信银行,27,托管行分行归并,scripts/entity_alias.py:BANK_NORM_MAP/银行名提取
发行台账0924/总表,托管行,中行北分,中国银行,145,托管行分行归并,scripts/entity_alias.py:BANK_NORM_MAP/银行名提取
发行台账0924/总表,托管行,中邮北分,邮储银行,48,托管行分行归并,scripts/entity_alias.py:BANK_NORM_MAP/银行名提取
发行台账0924/总表,托管行,中银北分,中国银行,21,托管行分行归并,scripts/entity_alias.py:BANK_NORM_MAP/银行名提取
发行台账0924/总表,托管行,交行北分,交通银行,130,托管行分行归并,scripts/entity_alias.py:BANK_NORM_MAP/银行名提取
发行台账0924/总表,托管行,交银北分,交通银行,24,托管行分行归并,scripts/entity_alias.py:BANK_NORM_MAP/银行名提取
发行台账0924/总表,托管行,光大北分,光大银行,121,托管行分行归并,scripts/entity_alias.py:BANK_NORM_MAP/银行名提取
发行台账0924/总表,托管行,光大重分,光大银行,112,托管行分行归并,scripts/entity_alias.py:BANK_NORM_MAP/银行名提取
发行台账0924/总表,托管行,兴业北分,兴业银行,213,托管行分行归并,scripts/entity_alias.py:BANK_NORM_MAP/银行名提取
发行台账0924/总表,托管行,兴银北分,兴业银行,2,托管行分行归并,scripts/entity_alias.py:BANK_NORM_MAP/银行名提取
发行台账0924/总表,托管行,北京银行西单支行,北京银行,26,托管行分行归并,scripts/entity_alias.py:BANK_NORM_MAP/银行名提取
发行台账0924/总表,托管行,华夏北分,华夏银行,21,托管行分行归并,scripts/entity_alias.py:BANK_NORM_MAP/银行名提取
发行台账0924/总表,托管行,南京南分,南京银行,1,托管行分行归并,scripts/entity_alias.py:BANK_NORM_MAP/银行名提取
发行台账0924/总表,托管行,南京银行,南京银行,2,原名保留,
发行台账0924/总表,托管行,南银北分,南京银行,6,托管行分行归并,scripts/entity_alias.py:BANK_NORM_MAP/银行名提取
发行台账0924/总表,托管行,工行天津,工商银行,39,托管行分行归并,scripts/entity_alias.py:BANK_NORM_MAP/银行名提取
发行台账0924/总表,托管行,工银天分,工商银行,318,托管行分行归并,scripts/entity_alias.py:BANK_NORM_MAP/银行名提取
发行台账0924/总表,托管行,平安北分,平安银行,91,托管行分行归并,scripts/entity_alias.py:BANK_NORM_MAP/银行名提取
发行台账0924/总表,托管行,广发北分,广发银行,50,托管行分行归并,scripts/entity_alias.py:BANK_NORM_MAP/银行名提取
发行台账0924/总表,托管行,广发银行,广发银行,37,原名保留,
发行台账0924/总表,托管行,建行北分,建设银行,194,托管行分行归并,scripts/entity_alias.py:BANK_NORM_MAP/银行名提取
发行台账0924/总表,托管行,招行北分,招商银行,218,托管行分行归并,scripts/entity_alias.py:BANK_NORM_MAP/银行名提取
发行台账0924/总表,托管行,招银北分,招商银行,34,托管行分行归并,scripts/entity_alias.py:BANK_NORM_MAP/银行名提取
发行台账0924/总表,托管行,杭州北分,杭州银行,86,托管行分行归并,scripts/entity_alias.py:BANK_NORM_MAP/银行名提取
发行台账0924/总表,托管行,民生北分,民生银行,279,托管行分行归并,scripts/entity_alias.py:BANK_NORM_MAP/银行名提取
发行台账0924/总表,托管行,江苏北分,江苏银行,202,托管行分行归并,scripts/entity_alias.py:BANK_NORM_MAP/银行名提取
发行台账0924/总表,托管行,浙商上分,浙商银行,28,托管行分行归并,scripts/entity_alias.py:BANK_NORM_MAP/银行名提取
发行台账0924/总表,托管行,浦发北分,浦发银行,22,托管行分行归并,scripts/entity_alias.py:BANK_NORM_MAP/银行名提取
发行台账0924/总表,托管行,渤海银行上海自贸区分行,渤海银行,28,托管行分行归并,scripts/entity_alias.py:BANK_NORM_MAP/银行名提取
发行台账0924/总表,托管行,渤海银行自贸区分行,渤海银行,27,托管行分行归并,scripts/entity_alias.py:BANK_NORM_MAP/银行名提取
发行台账0924/总表,托管行,邮储中关村,邮储银行,38,托管行分行归并,scripts/entity_alias.py:BANK_NORM_MAP/银行名提取
发行台账0924/总表,托管行,邮储北分,邮储银行,136,托管行分行归并,scripts/entity_alias.py:BANK_NORM_MAP/银行名提取
发行台账0924/总表,托管行,青岛银行,青岛银行,155,原名保留,
发行台账0924/总表,托管行,青岛银行总行,青岛银行,59,托管行分行归并,scripts/entity_alias.py:BANK_NORM_MAP/银行名提取
发行台账0924/总表,穿透机构,上海利曦基金,上海利曦基金,2,原名保留,
发行台账0924/总表,穿透机构,上海利曦私募,上海利曦私募,10,原名保留,
发行台账0924/总表,穿透机构,上海利曦私募基金管理合伙企业,上海利曦私募基金管理合伙企业,5,原名保留,
发行台账0924/总表,穿透机构,上海远行私募,上海远行私募,3,原名保留,
发行台账0924/总表,穿透机构,上银基金,上银基金,1,原名保留,
发行台账0924/总表,穿透机构,上银理财,上银理财,17,原名保留,
发行台账0924/总表,穿透机构,东方证券股份有限公司,东方证券,1,投资者格式/后缀规则,scripts/abs_common.py:normalize_investor_name
发行台账0924/总表,穿透机构,东方财富证券,东方财富证券,2,原名保留,
发行台账0924/总表,穿透机构,东莞农商行,东莞农商行,1,原名保留,
发行台账0924/总表,穿透机构,中信建投,中信建投,8,原名保留,
发行台账0924/总表,穿透机构,中信建投-衍生品,中信建投-衍生品,1,原名保留,
发行台账0924/总表,穿透机构,中信建投固收投顾,中信建投固收（投顾）,1,投资者格式/后缀规则,scripts/abs_common.py:normalize_investor_name
发行台账0924/总表,穿透机构,中信建投机构部,中信建投机构部,1,原名保留,
发行台账0924/总表,穿透机构,中信建投衍生品,中信建投衍生品,2,原名保留,
发行台账0924/总表,穿透机构,中信建投衍生品投顾,中信建投衍生品（投顾）,4,投资者格式/后缀规则,scripts/abs_common.py:normalize_investor_name
发行台账0924/总表,穿透机构,中信建投衍生品自营,中信建投衍生品（自营）,3,投资者格式/后缀规则,scripts/abs_common.py:normalize_investor_name
发行台账0924/总表,穿透机构,中信建投证券,中信建投证券,7,原名保留,
发行台账0924/总表,穿透机构,中信建投证券投行,中信建投证券（投行）,2,投资者格式/后缀规则,scripts/abs_common.py:normalize_investor_name
发行台账0924/总表,穿透机构,中信建投证券股份有限公司,中信建投证券,3,投资者格式/后缀规则,scripts/abs_common.py:normalize_investor_name
发行台账0924/总表,穿透机构,中信建投（固收投顾）,中信建投（固收投顾）,1,原名保留,
发行台账0924/总表,穿透机构,中信建投（投行上报）,中信建投,2,投资者格式/后缀规则,scripts/abs_common.py:normalize_investor_name
发行台账0924/总表,穿透机构,中信建投（投顾）,中信建投（投顾）,2,原名保留,
发行台账0924/总表,穿透机构,中信建投（机构部）,中信建投（机构部）,1,原名保留,
发行台账0924/总表,穿透机构,中信建投（衍生品部）,中信建投（衍生品部）,1,原名保留,
发行台账0924/总表,穿透机构,中信建投（衍生品）,中信建投（衍生品）,1,原名保留,
发行台账0924/总表,穿透机构,中信投顾,中信（投顾）,11,投资者格式/后缀规则,scripts/abs_common.py:normalize_investor_name
发行台账0924/总表,穿透机构,中信投顾1,中信投顾1,1,原名保留,
发行台账0924/总表,穿透机构,中信投顾2,中信投顾2,1,原名保留,
发行台账0924/总表,穿透机构,中信投顾3,中信投顾3,1,原名保留,
发行台账0924/总表,穿透机构,中信证券,中信证券,8,原名保留,
发行台账0924/总表,穿透机构,中信证券投行,中信证券（投行）,6,投资者格式/后缀规则,scripts/abs_common.py:normalize_investor_name
发行台账0924/总表,穿透机构,中信证券投顾,中信证券（投顾）,17,投资者格式/后缀规则,scripts/abs_common.py:normalize_investor_name
发行台账0924/总表,穿透机构,中信证券股份有限公司,中信证券,2,投资者格式/后缀规则,scripts/abs_common.py:normalize_investor_name
发行台账0924/总表,穿透机构,中信证券股份有限公司（投顾）,中信证券股份有限公司（投顾）,1,原名保留,
发行台账0924/总表,穿透机构,中信证券股份有限公司（自营）,中信证券股份有限公司（自营）,1,原名保留,
发行台账0924/总表,穿透机构,中信证券股份有限公司（资管）,中信证券股份有限公司（资管）,1,原名保留,
发行台账0924/总表,穿透机构,中信证券自营,中信证券（自营）,8,投资者格式/后缀规则,scripts/abs_common.py:normalize_investor_name
发行台账0924/总表,穿透机构,中信证券财富,中信证券财富,2,原名保留,
发行台账0924/总表,穿透机构,中信证券资管,中信证券资管,4,原名保留,
发行台账0924/总表,穿透机构,中信证券（固收-投顾）,中信证券（固收-投顾）,2,原名保留,
发行台账0924/总表,穿透机构,中信证券（投行上报),中信证券,2,投资者格式/后缀规则,scripts/abs_common.py:normalize_investor_name
发行台账0924/总表,穿透机构,中信证券（投行上报）,中信证券,16,投资者格式/后缀规则,scripts/abs_common.py:normalize_investor_name
发行台账0924/总表,穿透机构,中信证券（投顾）,中信证券（投顾）,10,原名保留,
发行台账0924/总表,穿透机构,中原信托（中信投顾）,中原信托（中信投顾）,1,原名保留,
发行台账0924/总表,穿透机构,中国国际金融股份有限公司,中国国际金融,4,投资者格式/后缀规则,scripts/abs_common.py:normalize_investor_name
发行台账0924/总表,穿透机构,中国国际金融股份有限公司（投顾）,中国国际金融股份有限公司（投顾）,1,原名保留,
发行台账0924/总表,穿透机构,中国国际金融股份有限公司（自营）,中国国际金融股份有限公司（自营）,1,原名保留,
发行台账0924/总表,穿透机构,中国建设银行股份有限公司,中国建设银行,2,投资者格式/后缀规则,scripts/abs_common.py:normalize_investor_name
发行台账0924/总表,穿透机构,中建投信托,中建投信托,1,原名保留,
发行台账0924/总表,穿透机构,中泰证券,中泰（自营）,4,跨面板精确别名,data/institution_alias_registry.json
发行台账0924/总表,穿透机构,中泰证券股份有限公司,中泰（自营）,1,投资者格式/后缀规则,scripts/abs_common.py:normalize_investor_name
发行台账0924/总表,穿透机构,中邮理财,中邮理财,101,原名保留,
发行台账0924/总表,穿透机构,中邮理财有限责任公司,中邮理财,7,投资者格式/后缀规则,scripts/abs_common.py:normalize_investor_name
发行台账0924/总表,穿透机构,中金,中金公司,3,投资者旧版显式别名,scripts/abs_common.py:normalize_investor_name
发行台账0924/总表,穿透机构,中金公司,中金公司,18,原名保留,
发行台账0924/总表,穿透机构,中金公司自营,中金公司（自营）,13,投资者格式/后缀规则,scripts/abs_common.py:normalize_investor_name
发行台账0924/总表,穿透机构,中金公司（固定收益部）,中金公司（固定收益部）,4,原名保留,
发行台账0924/总表,穿透机构,中金公司（固收）,中金公司（固收）,6,原名保留,
发行台账0924/总表,穿透机构,中金公司（投顾）,中金公司（投顾）,8,原名保留,
发行台账0924/总表,穿透机构,中金公司（自营）,中金公司（自营）,2,原名保留,
发行台账0924/总表,穿透机构,中金投顾,中金公司（投顾）,13,投资者旧版显式别名,scripts/abs_common.py:normalize_investor_name
发行台账0924/总表,穿透机构,中金自营,中金公司（自营）,42,跨面板精确别名,data/institution_alias_registry.json
发行台账0924/总表,穿透机构,中金自营-主动需求,中金自营-主动需求,1,原名保留,
发行台账0924/总表,穿透机构,中金财富,中金财富,11,原名保留,
发行台账0924/总表,穿透机构,中金财富证券,中金财富证券,3,原名保留,
发行台账0924/总表,穿透机构,中金财富（自营）,中金财富（自营）,1,原名保留,
发行台账0924/总表,穿透机构,中金资管,中金公司（资管）,11,投资者旧版显式别名,scripts/abs_common.py:normalize_investor_name
发行台账0924/总表,穿透机构,中金资管投顾,中金资管（投顾）,2,投资者格式/后缀规则,scripts/abs_common.py:normalize_investor_name
发行台账0924/总表,穿透机构,中银理财,中银理财,48,原名保留,
发行台账0924/总表,穿透机构,中银理财有限责任公司,中银理财,9,投资者格式/后缀规则,scripts/abs_common.py:normalize_investor_name
发行台账0924/总表,穿透机构,交银理财,交银理财,150,原名保留,
发行台账0924/总表,穿透机构,交银理财有限责任公司,交银理财,10,投资者格式/后缀规则,scripts/abs_common.py:normalize_investor_name
发行台账0924/总表,穿透机构,信达证券,信达（自营）,12,跨面板精确别名,data/institution_alias_registry.json
发行台账0924/总表,穿透机构,信银理财,信银理财,30,原名保留,
发行台账0924/总表,穿透机构,信银理财有限责任公司,信银理财,3,投资者格式/后缀规则,scripts/abs_common.py:normalize_investor_name
发行台账0924/总表,穿透机构,光大理财,光大理财,22,原名保留,
发行台账0924/总表,穿透机构,光大证券,光大证券,10,原名保留,
发行台账0924/总表,穿透机构,光大证券投行,光大证券（投行）,1,投资者格式/后缀规则,scripts/abs_common.py:normalize_investor_name
发行台账0924/总表,穿透机构,光大证券自营,光大证券（自营）,1,投资者格式/后缀规则,scripts/abs_common.py:normalize_investor_name
发行台账0924/总表,穿透机构,光大证券（包销）,光大证券（包销）,1,原名保留,
发行台账0924/总表,穿透机构,光大证券（投行上报）,光大证券,3,投资者格式/后缀规则,scripts/abs_common.py:normalize_investor_name
发行台账0924/总表,穿透机构,兴业证券,兴业证券,4,原名保留,
发行台账0924/总表,穿透机构,兴业证券投行,兴业证券（投行）,2,投资者格式/后缀规则,scripts/abs_common.py:normalize_investor_name
发行台账0924/总表,穿透机构,兴业证券股份有限公司,兴业证券,6,投资者格式/后缀规则,scripts/abs_common.py:normalize_investor_name
发行台账0924/总表,穿透机构,兴业证券（投行上报）,兴业证券,2,投资者格式/后缀规则,scripts/abs_common.py:normalize_investor_name
发行台账0924/总表,穿透机构,兴银理财,兴银理财,28,原名保留,
发行台账0924/总表,穿透机构,兴银理财-兴稳1号,兴银理财-兴稳1号,2,原名保留,
发行台账0924/总表,穿透机构,兴银理财-淳享1号,兴银理财-淳享1号,1,原名保留,
发行台账0924/总表,穿透机构,兴银理财有限责任公司,兴银理财,1,投资者格式/后缀规则,scripts/abs_common.py:normalize_investor_name
发行台账0924/总表,穿透机构,利曦基金,利曦基金,60,原名保留,
发行台账0924/总表,穿透机构,利曦私募,利曦私募,2,原名保留,
发行台账0924/总表,穿透机构,利曦私募基金,利曦私募基金,5,原名保留,
发行台账0924/总表,穿透机构,前海开源,前海开源,1,原名保留,
发行台账0924/总表,穿透机构,北银理财,北银理财,1,原名保留,
发行台账0924/总表,穿透机构,华兴证券,华兴（自营）,4,跨面板精确别名,data/institution_alias_registry.json
